card_name_a,card_name_b,games,wins,win_rate,win_lift_vs_baseline
Gold Coin,Ruby Chromicon,12,10,0.8333333333333334,0.2370272647317503
Maui's Fish Hook,Oswald - The Lucky Rabbit,12,10,0.8333333333333334,0.2370272647317503
Maui's Fish Hook,Sapphire Coil,12,10,0.8333333333333334,0.2370272647317503
A Pirate's Life,Gramma Tala - Keeper of Ancient Stories,6,5,0.8333333333333334,0.2370272647317503
A Pirate's Life,Pawpsicle,6,5,0.8333333333333334,0.2370272647317503
A Pirate's Life,Vision of the Future,6,5,0.8333333333333334,0.2370272647317503
Ariel - Spectacular Singer,Diablo - Devoted Herald,6,5,0.8333333333333334,0.2370272647317503
Basil's Magnifying Glass,Great Stone Dragon,6,5,0.8333333333333334,0.2370272647317503
Basil's Magnifying Glass,The Sword of Shan-Yu,6,5,0.8333333333333334,0.2370272647317503
Cinderella - Dream Come True,What Else Can I Do?,6,5,0.8333333333333334,0.2370272647317503
Diablo - Obedient Raven,Friends on the Other Side,6,5,0.8333333333333334,0.2370272647317503
Fire the Cannons!,Friends on the Other Side,6,5,0.8333333333333334,0.2370272647317503
Galactic Communicator,Sapphire Coil,6,5,0.8333333333333334,0.2370272647317503
Ghostly Tale,Tipo - Growing Son,6,5,0.8333333333333334,0.2370272647317503
Gold Coin,Great Stone Dragon,6,5,0.8333333333333334,0.2370272647317503
Gramma Tala - Keeper of Ancient Stories,Maui - Half-Shark,6,5,0.8333333333333334,0.2370272647317503
Great Stone Dragon,Pawpsicle,6,5,0.8333333333333334,0.2370272647317503
Great Stone Dragon,Sapphire Coil,6,5,0.8333333333333334,0.2370272647317503
Great Stone Dragon,Scrooge McDuck - Resourceful Miser,6,5,0.8333333333333334,0.2370272647317503
Great Stone Dragon,Unconventional Tool,6,5,0.8333333333333334,0.2370272647317503
Jebidiah Farnsworth - Cookie,Vision of the Future,6,5,0.8333333333333334,0.2370272647317503
Lady - Miss Park Avenue,Ursula - Deceiver,6,5,0.8333333333333334,0.2370272647317503
Maui - Half-Shark,Pawpsicle,6,5,0.8333333333333334,0.2370272647317503
Nani - Stage Manager,Piglet - Pooh Pirate Captain,6,5,0.8333333333333334,0.2370272647317503
Nani - Stage Manager,Webby Vanderquack - Mystery Enthusiast,6,5,0.8333333333333334,0.2370272647317503
Fishbone Quill,Gold Coin,123,102,0.8292682926829268,0.2329622240813437
Basil's Magnifying Glass,Fishbone Quill,151,125,0.8278145695364238,0.23150850093484077
Ruby Chromicon,Sisu - Daring Visitor,46,38,0.8260869565217391,0.22978088792015605
Belle - Apprentice Inventor,Lucky Dime,97,80,0.8247422680412371,0.228436199439654
Inkrunner,Tamatoa - Happy as a Clam,17,14,0.8235294117647058,0.22722334316312276
Maurice's Workshop,Tamatoa - Happy as a Clam,22,18,0.8181818181818182,0.22187574958023515
