card_name,games_with_card,losses_with_card,loss_rate_with_card,loss_lift_vs_baseline,loss_odds_ratio_approx
Diablo - Devoted Herald,70,27,0.38571428571428573,-0.01902309842577604,0.9529990256145485
Scrooge McDuck - Resourceful Miser,356,137,0.3848314606741573,-0.019905923465904474,0.950817801706161
Tramp - Enterprising Dog,26,10,0.38461538461538464,-0.020121999524677137,0.9502839357145978
Sudden Chill,13,5,0.38461538461538464,-0.020121999524677137,0.9502839357145978
"Next Stop, Olympus",34,13,0.38235294117647056,-0.02238444296359121,0.9446940447441107
Sapphire Coil,364,139,0.38186813186813184,-0.02286925227192993,0.9434962109647206
Dale - Ready for His Shot,21,8,0.38095238095238093,-0.023785003187680842,0.941233636048095
Vitalisphere,309,116,0.37540453074433655,-0.029332853395725222,0.9275263860677606
Unconventional Tool,333,125,0.37537537537537535,-0.02936200876468642,0.9274543509702664
Incrediboy - Buddy Pine,16,6,0.375,-0.029737384140061773,0.9265268990900279
Kida - Crystal Scion,8,3,0.375,-0.029737384140061773,0.9265268990900279
Pete - Space Pirate,8,3,0.375,-0.029737384140061773,0.9265268990900279
Inkrunner,358,133,0.3715083798882682,-0.03322900425179359,0.9179000422151843
Liquidator - Iced Over,238,88,0.3697478991596639,-0.03498948498039789,0.9135503664799689
Pawpsicle,378,138,0.36507936507936506,-0.039658019060696714,0.902015670826583
Snow Fort,22,8,0.36363636363636365,-0.04110102050369813,0.8984504012609911
Ursula - Deceiver of All,22,8,0.36363636363636365,-0.04110102050369813,0.8984504012609911
Diablo - Watchful Raven,11,4,0.36363636363636365,-0.04110102050369813,0.8984504012609911
Brawl,277,100,0.36101083032490977,-0.043726553815152,0.8919634125929103
Giant Cobra - Ghostly Serpent,28,10,0.35714285714285715,-0.04759452699720462,0.8824066882158271
Angel - Siren Singer,14,5,0.35714285714285715,-0.04759452699720462,0.8824066882158271
Friends on the Other Side,14,5,0.35714285714285715,-0.04759452699720462,0.8824066882158271
John Smith - Skillful Explorer,14,5,0.35714285714285715,-0.04759452699720462,0.8824066882158271
Fishbone Quill,343,122,0.3556851311953353,-0.04905225294472648,0.8788050383485454
Nani - Stage Manager,48,17,0.3541666666666667,-0.05057071747339509,0.8750533197367937
Maui - Hero to All,207,73,0.3526570048309179,-0.05208037930914389,0.8713233502184433
Someone Will Lose His Head,23,8,0.34782608695652173,-0.056911297183540044,0.8593874477597222
Maurice's Workshop,341,118,0.3460410557184751,-0.058696328421586674,0.8549771142999016
Mowgli - Man Cub,32,11,0.34375,-0.06098738414006177,0.8493165300601764
Jebidiah Farnsworth - Cookie,35,12,0.34285714285714286,-0.06188024128291891,0.8471105195164663
Oswald - The Lucky Rabbit,316,108,0.34177215189873417,-0.0629652322413276,0.8444297978430971
Merlin - Goat,56,19,0.3392857142857143,-0.06545166985434747,0.8382864773416262
Diablo - Obedient Raven,69,23,0.3333333333333333,-0.07140405080672846,0.8235797403835592
What Else Can I Do?,21,7,0.3333333333333333,-0.07140405080672846,0.8235797403835592
A Pirate's Life,9,3,0.3333333333333333,-0.07140405080672846,0.8235797403835592
Aurora - Holding Court,6,2,0.3333333333333333,-0.07140405080672846,0.8235797403835592
Diablo - Spiteful Raven,6,2,0.3333333333333333,-0.07140405080672846,0.8235797403835592
Maleficent - Monstrous Dragon,6,2,0.3333333333333333,-0.07140405080672846,0.8235797403835592
Mushu's Rocket,6,2,0.3333333333333333,-0.07140405080672846,0.8235797403835592
Gold Coin,170,56,0.32941176470588235,-0.07532561943417942,0.813890596034715
Diablo - Stone Servant,34,11,0.3235294117647059,-0.08120797237535587,0.799356879511449
Cinderella - Dream Come True,22,7,0.3181818181818182,-0.0865555659582436,0.7861444099448432
Chernabog's Followers - Creatures of Evil,19,6,0.3157894736842105,-0.08894791045585126,0.7802335682966249
Fire the Cannons!,19,6,0.3157894736842105,-0.08894791045585126,0.7802335682966249
Basil's Magnifying Glass,241,76,0.3153526970954357,-0.0893846870446261,0.779154410485332
Merryweather - Feisty Fairy,35,11,0.3142857142857143,-0.0904516698543475,0.7765181821177449
Tamatoa - Happy as a Clam,83,26,0.3132530120481928,-0.09148437209186899,0.7739666518503212
Genie - Wish Fulfilled,29,9,0.3103448275862069,-0.09439255655385487,0.7667813079937833
Pete - Games Referee,70,21,0.3,-0.10473738414006178,0.7412220134183841
Cinderella - Stouthearted,10,3,0.3,-0.10473738414006178,0.7412220134183841
Might Solve a Mystery,84,25,0.2976190476190476,-0.10711833652101416,0.7353393186351573
Webby Vanderquack - Mystery Enthusiast,27,8,0.2962962962962963,-0.1084410878437655,0.732071154866698
Prince John - Greediest of All,31,9,0.2903225806451613,-0.11441480349490046,0.717311705589785
Maui - Half-Shark,66,19,0.2878787878787879,-0.11685859626127387,0.7112737490674115
Scrooge McDuck - Ghostly Ebenezer,42,12,0.2857142857142857,-0.11902309842577607,0.7059258447190234
Beast - Tragic Hero,28,8,0.2857142857142857,-0.11902309842577607,0.7059258447190234
The Muses - Proclaimers of Heroes,21,6,0.2857142857142857,-0.11902309842577607,0.7059258447190234
Heads Held High,7,2,0.2857142857142857,-0.11902309842577607,0.7059258447190234
Lyle Tiberius Rourke - Adventurer for Hire,7,2,0.2857142857142857,-0.11902309842577607,0.7059258447190234
Sisu - Emboldened Warrior,7,2,0.2857142857142857,-0.11902309842577607,0.7059258447190234
Tamatoa - So Shiny!,137,39,0.2846715328467153,-0.12006585129334646,0.703349482040238
Maui's Fish Hook,32,9,0.28125,-0.12348738414006177,0.6948957920004732
Madam Mim - Fox,25,7,0.28,-0.12473738414006175,0.6918073772392792
Under the Sea,18,5,0.2777777777777778,-0.12695960636228398,0.6863168621082675
The Library - A Gift for Belle,29,8,0.27586206896551724,-0.12887531517454454,0.6815836594091195
Ariel - Sonic Warrior,11,3,0.2727272727272727,-0.13201011141278907,0.6738384186286954
McDuck Manor - Scrooge's Mansion,26,7,0.2692307692307692,-0.13550661490929256,0.665199496219761
Sisu - Empowered Sibling,245,62,0.2530612244897959,-0.15167615965026587,0.6252488876919131
Dash Parr - Lava Runner,12,3,0.25,-0.15473738414006177,0.6176854229706216
Merlin - Rabbit,12,3,0.25,-0.15473738414006177,0.6176854229706216
Galactic Communicator,8,2,0.25,-0.15473738414006177,0.6176854229706216
Maleficent - Biding Her Time,8,2,0.25,-0.15473738414006177,0.6176854229706216
Scuttle - Birdbrained,45,11,0.24444444444444444,-0.16029293969561734,0.6039591351430925
Amethyst Chromicon,25,6,0.24,-0.16473738414006178,0.5929781048810692
Ghostly Tale,26,6,0.23076923076923078,-0.173968153370831,0.5701713497214823
Cheshire Cat - Inexplicable,18,4,0.2222222222222222,-0.18251516191783956,0.5490539838329758
Demona - Scourge of the Wyvern Clan,18,4,0.2222222222222222,-0.18251516191783956,0.5490539838329758
Belle - Accomplished Mystic,9,2,0.2222222222222222,-0.18251516191783956,0.5490539838329758
Max Goof - Rebellious Teen,9,2,0.2222222222222222,-0.18251516191783956,0.5490539838329758
Ratigan's Marvelous Trap,9,2,0.2222222222222222,-0.18251516191783956,0.5490539838329758
Elsa - The Fifth Spirit,42,9,0.21428571428571427,-0.1904516698543475,0.5294450012222198
Ruby Chromicon,67,14,0.208955223880597,-0.19578216025946477,0.5162747890209658
Chip - Quick Thinker,5,1,0.2,-0.20473738414006176,0.4941488325228592
Royal Guard - Octopus Soldier,5,1,0.2,-0.20473738414006176,0.4941488325228592
Shield of Virtue,5,1,0.2,-0.20473738414006176,0.4941488325228592
Dumbo - Ninth Wonder of the Universe,17,3,0.17647058823529413,-0.22826679590476764,0.43601396642979445
Lucky Dime,111,19,0.17117117117117117,-0.2335662129688906,0.4229205281205456
Lucifer - Cunning Cat,6,1,0.16666666666666666,-0.23807071747339512,0.4117911055576841
Peter Pan - Shadow Finder,14,2,0.14285714285714285,-0.2618802412829189,0.3529641577254162
Hades - Looking for a Deal,7,1,0.14285714285714285,-0.2618802412829189,0.3529641577254162
Lady Tremaine - Imperious Queen,7,1,0.14285714285714285,-0.2618802412829189,0.3529641577254162
Hades - Infernal Schemer,26,3,0.11538461538461539,-0.28935276875544635,0.2850869102266456
Robin Hood - Champion of Sherwood,9,1,0.1111111111111111,-0.29362627302895067,0.2745282272823924
Hidden Cove - Tranquil Haven,12,1,0.08333333333333333,-0.32140405080672846,0.20589678814474652
Alice - Savvy Sailor,5,0,0.0,-0.4047373841400618,2.470731808955251e-06
